Condition,RID,Kapp,Rep
Acetate,14801,12.298417207129168,131
Acetate,18681,2.8590006085854864,131
Acetate,17661,212.0469935863946,131
Acetate,13925,7.285032164071728,131
Acetate,11816,150.32582564468962,131
Acetate,16597,22.137450472502472,131
Acetate,27551,88.78603450349421,131
Acetate,13897,10.538435312644802,131
Acetate,28442,4.745694213690441,131
Acetate,17089,79.08421550493222,131
Acetate,21432,280.6065503759397,131
Acetate,41848,436.3440334278394,131
Acetate,41884,43.25848581909657,131
Acetate,41820,48.6749469111254,131
Acetate,32715,92.89985393667467,131
Acetate,17325,8.235602680143842,131
Acetate,41804,50.321795069794106,131
Acetate,31131,41.08239884350378,131
Acetate,11768,0.7318207618164335,131
Acetate,42424,470.6783425088223,131
Acetate,21524,2.7741709626643365,131
Acetate,31747,10.14872498636701,131
Acetate,23476,17.550300225779175,131
Acetate,23864,1045.1553239620287,131
Acetate,31139,41.47132431677887,131
Acetate,17737,47.648962907410834,131
Acetate,H_ATPsynthase,12944.483088098073,131
Acetate,24793,1.710339503614357,131
Acetate,41852,99.40068244076973,131
Acetate,18133,0.2940079517562413,131
Acetate,21624,24.959908146623818,131
Acetate,13233,86.29791051516298,131
Acetate,19541,4.353376806596323,131
Acetate,27822,4.972423551332908,131
Acetate,12605,30.229103210040293,131
Acetate,21020,35.0837771263706,131
Acetate,28362,2835.772206451485,131
Acetate,18253,12758.50972736785,131
Acetate,22192,2.9974653749850027,131
Acetate,20013,158.1605192393094,131
Acetate,15753,4.300638301934622,131
Acetate,11064,37.53447057174115,131
Acetate,41860,658.8565308726708,131
Acetate,glycogen_synthase,14.45947826555675,131
Acetate,cyt_bc1,2650.6576631701146,131
Acetate,41920,30.787975626554555,131
Acetate,12080,12.434410519334994,131
Acetate,15985,6897.50202157986,131
Acetate,13869,166.9545166107448,131
Acetate,30187,23.099313012577884,131
Acetate,21540,0.7324006346041587,131
Acetate,22408,1.4889372029758317,131
Acetate,24296,90.90192105721617,131
Acetate,33803,10.68745206962218,131
Acetate,41856,523.9980919847001,131
Acetate,28438,1.1079612960658922,131
Acetate,28030,84.19249156128616,131
Acetate,14329,133.23718508736798,131
Acetate,22608,95.32592372993783,131
Acetate,23288,3.6254138693532063,131
Acetate,18405,4455.3827723511695,131
Acetate,41832,377.9370367185574,131
Acetate,43604,13.624001530753903,131
Acetate,10532,0.32217568792984824,131
Acetate,41836,162.80993345446922,131
Acetate,10300,35.29819317727842,131
Acetate,41924,1426.0480309191785,131
Acetate,11600,11.25064922977993,131
Acetate,41900,68.79285456083363,131
Acetate,28066,6.66983273844707,131
Acetate,38215,1.6686268768255001,131
Acetate,24400,57.005769441714015,131
Acetate,29379,23.82493132595837,131
Acetate,41904,241.99051166192854,131
Acetate,19597,158.8380256073,131
Acetate,20049,1459.247058261407,131
Acetate,28038,1360.1969146249658,131
Acetate,20956,6.977911147152733,131
Acetate,12104,144.07774918487343,131
Acetate,21732,0.758681150296803,131
Acetate,13121,32.77173408977574,131
Acetate,22988,0.4662207765634875,131
Acetate,14465,81.84752321712806,131
Acetate,27658,72.16736961492761,131
Acetate,18585,5001.59606414818,131
Acetate,23744,0.6604225989459179,131
Acetate,14829,0.10000000000000007,131
Acetate,20345,5.5334367014166554,131
Acetate,15609,206.2638227700515,131
Acetate,20445,2507.4302229461964,131
Acetate,24152,15.036765847938021,131
Acetate,23284,425.91511392383694,131
Acetate,14657,159.01326370065888,131
Acetate,13245,20310.189840224484,131
Acetate,16853,7.725785315742778,131
Acetate,23424,5.525556647193864,131
Acetate,41828,52.41122356131204,131
Acetate,20780,295.1268709617962,131
Acetate,23536,1.865261480803606,131
Acetate,10228,607.1944231699728,131
Acetate,20249,4.811876310725939,131
Acetate,28582,588.0827583970826,131
Acetate,16845,4845.596401438469,131
Acetate,19361,91.17922770051842,131
Acetate,12120,11.857363002146798,131
Acetate,nqr,1527.4556595072397,131
Acetate,11596,429.50017499681377,131
Acetate,27690,83.86306085313485,131
Acetate,22828,0.7257120799313808,131
Acetate,21968,17.548807490118243,131
Acetate,34171,1.2035412679005844,131
Acetate,13677,608.6231420934045,131
Acetate,14905,42.77208408245392,131
Acetate,31227,6.352753010220566,131
Acetate,10116,1.1615328766540058,131
Acetate,24813,15.420763197983831,131
Acetate,rnf,25.231001808691595,131
Acetate,18793,157.12985846807885,131
Acetate,31755,1316.350304820341,131
Acetate,16169,201.37666273113913,131
Acetate,22332,62.357171524569054,131
Acetate,10040,14.614740115113257,131
Acetate,18181,17431.575743053367,131
Acetate,17277,359.78292969814,131
Acetate,41824,2665.5400633141617,131
Acetate,41876,980.9294388036392,131
Acetate,25237,829.7573893279202,131
Acetate,28026,2264.5697048811353,131
Acetate,11040,2.740774500661252,131
Acetate,17941,103.05702257555701,131
Acetate,14729,23.316366127702928,131
Acetate,28062,12.306814581776345,131
Acetate,41916,168.97334968477074,131
Acetate,40523,136.47136891502996,131
Acetate,13493,12.117338359890296,131
Acetate,cyt_c,6394.442749689059,131
Acetate,30699,0.12913083875086045,131
Acetate,24801,1241.3632493073194,131
Acetate,32271,308.970171376798,131
Acetate,12556,11.076882843599263,131
Acetate,14053,7.1891113096841215,131
Acetate,35323,298.0858768314346,131
Acetate,41812,566.6882571038329,131
Acetate,11960,139.77911741399694,131
Acetate,25588,791.9968293870097,131
Acetate,33799,146.8290287569034,131
Acetate,27682,13.334691395323219,131
Acetate,24576,2909.1343943544657,131
Acetate,10152,1334.174296321642,131
Acetate,41880,1105.6563726168151,131
Acetate,13509,16.61822509497034,131
Acetate,64820,15.739732623768036,131
Acetate,18445,29.597217653020074,131
Acetate,11708,7.955628504323558,131
Acetate,19833,215.7960862975469,131
Acetate,16293,39.90416630520563,131
Acetate,21208,234.91109506625386,131
Acetate,34799,18.84578854335961,131
Acetate,13429,78.56953524188856,131
Acetate,18473,8.794500431896097,131
Acetate,23700,167.52828249230345,131
Acetate,27786,699.6222885815264,131
Acetate,28054,433.8527359602435,131
Acetate,15761,7.60635415723,131
Acetate,12248,1.2124609261704034,131
Acetate,17053,31.267884324152327,131
Acetate,27686,144.0646391083069,131
Acetate,15093,0.617058379315986,131
Acetate,14717,25.13481483616319,131
Acetate,23104,3.534962464229987,131
Acetate,34851,25.49532332568602,131
Acetate,18049,3.9404056782329726,131
Acetate,15841,11236.902425051347,131
Acetate,41888,6.8147690302586525,131
Acetate,23776,11.018027091431199,131
Acetate,10748,10096.178442348231,131
Acetate,14629,6.420868091496518,131
Acetate,61092,128.1580679366732,131
Acetate,24809,418.626517686852,131
Acetate,11612,518.8092025235679,131
Acetate,17817,46.51958108821767,131
Acetate,37751,1667.4934182348393,131
Acetate,28374,3.331764303238335,131
Acetate,41896,465.39767371923824,131
Acetate,31255,22.86408587498834,131
Acetate,27710,92.7841460215126,131
Acetate,18157,1106.6422858353667,131
Acetate,14877,180.63803300168567,131
Acetate,23032,563.7975002944726,131
Acetate,15393,35.19001946417431,131
Acetate,27694,160.57796079457384,131
Acetate,18617,150.70484780098246,131
Acetate,10676,922.7341644867811,131
Acetate,12813,3.5386062525849704,131
Acetate,14109,14.170414874033218,131
Acetate,15009,85.10373370975745,131
Acetate,41808,11.344968488085621,131
Acetate,13985,1.4440126144612468,131
Acetate,32171,63.664135028406506,131
Acetate,12536,21.472466923203665,131
Acetate,19821,2.285313742393312,131
Acetate,23780,3157.082431824342,131
Acetate,23176,1136.2419070667909,131
Acetate,27626,21.056387203186787,131
Acetate,18437,70.91781153019726,131
Acetate,15481,15.715270084113477,131
Acetate,11308,9.258065575398817,131
Acetate,19381,1380.9191677681276,131
Acetate,41892,120.58472996651365,131
Acetate,10508,2.1168787704312457,131
Acetate,22628,113.57943288323226,131
Acetate,11148,73.79385842414258,131
Acetate,10164,124.45210983090242,131
Acetate,13701,3.1003332263330368,131
Acetate,41840,1052.137921154408,131
Acetate,13801,12.036083953672676,131
Acetate,27678,687.3585165752119,131
Acetate,12228,2.637667766021192,131
Acetate,19453,4421.703229149525,131
Acetate,41908,1913.4120703356402,131
Acetate,41912,207.06788928969894,131
Acetate,12641,427.2349996509615,131
Acetate,31843,39.41372842542339,131
Acetate,21588,13.249448856715123,131
Acetate,16249,152.3886864361577,131
Acetate,25249,277.5441077233736,131
Acetate,10840,4.382957188763859,131
Acetate,13725,365.55264215647,131
Acetate,20700,118.38357560381212,131
Acetate,14089,78.39283725233689,131
Acetate,21824,220.520683550203,131
Acetate,15901,35.169362281412425,131
Acetate,17129,3.7360944046704248,131
Acetate,41792,145.83471633250983,131
Acetate,22668,7.621603632026721,131
Acetate,10380,183.28742737716198,131
Acetate,12973,354.7762308354673,131
Acetate,76647,43.83809913711699,131
Acetate,11172,2.05904004230238,131
Acetate,13717,39.32143460616009,131
Acetate,41868,87.50271827568626,131
Acetate,16809,6110.309558315762,131
