Protein,MassFraction
PN96_RS13230,2.5993583393747695e-5
PN96_RS02000,0.001230552926256784
PN96_RS07950,0.004058554755541912
PN96_RS04300,0.0006620031024754231
PN96_RS11010,0.0005152978172204635
PN96_RS01105,0.0010509442504038375
PN96_RS11195,0.00043308415273381125
PN96_RS02990,0.0008057157288991172
PN96_RS02350,1.2104480781537877e-5
PN96_RS05440,0.0003335277639804507
PN96_RS09390,0.0031708073293487764
PN96_RS07425,0.001132491663473732
PN96_RS11365,0.0001386883410246979
PN96_RS11245,0.009422909329741871
PN96_RS11910,0.001567824147268201
PN96_RS13600,0.01928236574273988
PN96_RS03975,0.001161882632623825
PN96_RS14435,7.616481726568926e-5
PN96_RS01650,0.00022701325891972377
PN96_RS03950,0.00019377470612933555
PN96_RS11985,0.002976546405594646
PN96_RS07885,0.00010147468686084592
PN96_RS15020,0.00020777948970040032
PN96_RS09400,0.0009413857902232419
PN96_RS11855,0.017237803857414986
PN96_RS04245,0.0033374998423157513
PN96_RS14995,0.001292196993382125
PN96_RS11770,0.0015821530272009012
PN96_RS11990,0.0033317554911076737
PN96_RS15165,0.0009188963586738696
PN96_RS09035,0.00018203788985870356
PN96_RS01795,0.00011392638733412478
PN96_RS22505,0.00038205023156020904
PN96_RS10630,0.0007687492435653624
PN96_RS16595,1.2030309800352972e-5
PN96_RS00050,0.00014467791519068169
PN96_RS01370,0.0010575395029170946
PN96_RS05365,0.00025461970928423045
PN96_RS02955,8.02426973942155e-5
