Reaction,Isozyme,Protein,Stoichiometry,KcatReverse,KcatForward
10248,A,PN96_RS01095,2,0.11583484570648826,0.1576629857176693
21020,A,PN96_RS02880,4,1.094676734693124,2.001491785780898
27686,A,PN96_RS10630,4,0.06425505453436765,3.2697050576380353
16845,A,PN96_RS09420,6,8.445762516952815,1.968516232328702
18405,A,PN96_RS08050,1,9.492512139616258,1.2524846447397302
13121,A,PN96_RS15065,1,1.0864650853111386,1.8539979930533947
41924,B,PN96_RS05720,2,3.4688382870192553,0.29119272943715463
41924,A,PN96_RS02355,1,9.482745451434818,2.201823163763234
10152,A,PN96_RS22110,1,0.7469169391829423,0.14476742158754458
17325,A,PN96_RS02000,3,0.8476425693784134,0.2175414312608509
19521,A,PN96_RS03410,6,12.945928316147805,12.827176782228598
35331,A,PN96_RS11310,4,2.2006995729197305,1.0196081973645872
18445,A,PN96_RS00180,1,1.2201978742976822,0.4499683979326633
17129,A,PN96_RS10330,1,0.23507812269223954,0.6575087860578708
15093,A,PN96_RS04245,2,12.640393398143214,0.7964858135400429
22628,A,PN96_RS07375,3,0.10806970726494321,0.07426173936308819
24801,A,PN96_RS21300,6,0.3941457373371765,0.7747009529037373
25209,A,PN96_RS11330,1,0.27718936846648384,0.33497026349980885
15841,B,PN96_RS21965,1,32.35373868842036,5.684409388155213
15841,A,PN96_RS05360,1,4.649857771069351,3.0203375074519223
41884,B,PN96_RS03565,2,0.02489382900905511,0.01798156895139719
14717,B,PN96_RS18400,4,0.04967956030582565,1.9766922845738548
14717,A,PN96_RS10965,4,0.08737886449474787,0.09449702504813076
Na_ATPsynthase,A,PN96_RS13585,1,5.229393540218557,6.417839024215721
Na_ATPsynthase,A,PN96_RS13570,1,5.229393540218557,6.417839024215721
Na_ATPsynthase,A,PN96_RS13590,3,5.229393540218557,6.417839024215721
Na_ATPsynthase,A,PN96_RS13600,1,5.229393540218557,6.417839024215721
Na_ATPsynthase,A,PN96_RS13605,1,5.229393540218557,6.417839024215721
Na_ATPsynthase,A,PN96_RS13580,2,5.229393540218557,6.417839024215721
Na_ATPsynthase,A,PN96_RS13575,10,5.229393540218557,6.417839024215721
Na_ATPsynthase,A,PN96_RS13565,1,5.229393540218557,6.417839024215721
