Reaction,Isozyme,Protein,Stoichiometry,KcatReverse,KcatForward
54936,B,PN96_RS20950,1,0.08039798445935468,4.457517723589904
54936,A,PN96_RS07515,1,0.0749593182663672,0.8614753208405175
24813,A,PN96_RS21300,6,1.1087977692104083,0.5797773866357409
22812,A,PN96_RS09240,2,0.21079251615916572,0.6546481359801072
41904,A,PN96_RS03555,4,0.472916449926988,0.5071058690858217
41880,B,PN96_RS20950,1,1.2474194946514598,0.12365481496037226
41880,A,PN96_RS07515,1,1.7776691850392603,2.266243497289619
32287,A,PN96_RS11765,1,0.34811332590023136,1.560855823958377
32287,A,PN96_RS11770,1,0.34811332590023136,1.560855823958377
27694,A,PN96_RS13640,2,0.0678483855054605,1.5225533843305767
pnt,A,PN96_RS20825,2,0.5063093849343728,0.9754456156731642
pnt,A,PN96_RS20820,2,0.5063093849343728,0.9754456156731642
13677,A,PN96_RS15085,1,0.12524080020816006,0.10457527089133839
24560,A,PN96_RS14615,6,1.1973795908295954,0.22457074265554125
18321,A,PN96_RS21300,6,0.3842351608893698,9.822671098415315
14053,A,PN96_RS09830,3,0.0738779834851641,0.32858894242378034
10748,A,PN96_RS01390,2,0.5499870943874539,3.73073816097233
27654,B,PN96_RS11715,2,0.03129218781104878,0.3287058388388063
27654,B,PN96_RS11720,2,0.03129218781104878,0.3287058388388063
27654,A,PN96_RS13650,2,0.08639059963137007,0.3332467829422489
27654,A,PN96_RS11715,2,0.08639059963137007,0.3332467829422489
27654,C,PN96_RS13645,2,0.2375770896420456,1.4224290182292882
27654,C,PN96_RS13650,2,0.2375770896420456,1.4224290182292882
27654,D,PN96_RS13645,2,0.804404032199684,0.756221767394823
27654,D,PN96_RS11720,2,0.804404032199684,0.756221767394823
17053,A,PN96_RS18415,1,6.038659815477764,0.10778670931264044
12120,B,PN96_RS21135,4,0.2865547617877262,0.11194913767850705
12120,A,PN96_RS08410,4,0.7283963215599961,1.9099951064928418
17453,A,PN96_RS00175,1,0.21267130082140612,0.5897268518656152
11600,A,PN96_RS03665,1,0.536541088983525,0.8776999170926381
28062,A,PN96_RS12535,1,0.04277267747071164,0.1342723553996387
13213,B,PN96_RS05095,4,0.23205701850103197,1.969936618537598
13213,C,PN96_RS22530,4,0.423350097221614,2.9071891807187185
54868,B,PN96_RS07515,1,0.15044689853294008,0.08477276981386665
54868,A,PN96_RS20950,1,0.06810437321190205,0.8991916677374931
18181,A,PN96_RS10730,1,3.7724591605346482,0.18654908083708135
21020,A,PN96_RS02880,4,0.06576523435383952,0.7001936605213992
21648,A,PN96_RS10930,2,0.06205339628118028,0.05395497294202972
27686,A,PN96_RS10630,4,1.0436994145323109,0.0873659330688684
16845,A,PN96_RS09420,6,0.3441575594003207,0.793122747391646
41924,B,PN96_RS05720,2,0.37569620713876795,0.8653189392768948
41924,A,PN96_RS02355,1,0.21623821199029622,1.6434590933928144
13121,A,PN96_RS15065,1,2.586813114828183,7.841044372987706
17325,A,PN96_RS02000,3,0.26478540744604884,0.23531752378566753
10152,A,PN96_RS22110,1,0.2623938233974596,0.13623866873263385
27738,B,PN96_RS15460,6,7.0430707372751105,3.5563734901444377
27738,A,PN96_RS01785,6,0.861072336366901,27.57438978765825
19521,A,PN96_RS03410,6,0.4852255395023026,0.6035660030561666
18445,A,PN96_RS00180,1,0.01794290137960827,0.037712504803137994
17129,A,PN96_RS10330,1,0.10314328387743858,0.6009870642017562
15093,A,PN96_RS04245,2,0.5374468222876009,22.187676242744324
22628,A,PN96_RS07375,3,0.05275515362873458,0.27000984663158883
24801,A,PN96_RS21300,6,0.3747328230560204,2.8237248610476926
25209,A,PN96_RS11330,1,0.9782648778654868,5.34555677391792
15841,B,PN96_RS21965,1,7.607282837105619,1.5748772741591286
15841,A,PN96_RS05360,1,0.8733537662696167,4.914217899425404
41884,B,PN96_RS03565,2,0.4832561504979874,0.707097290671656
14717,B,PN96_RS18400,4,1.1065790526634924,0.717028109544161
