Protein,MassFraction
PN96_RS09240,0.0005642274424106361
PN96_RS08410,0.0004121524379132879
PN96_RS13345,0.004881916263842964
PN96_RS01460,0.002439016444733565
PN96_RS00950,0.0006338598251544148
PN96_RS15065,5.98272758639883e-5
PN96_RS10330,0.008375065279100676
PN96_RS23400,0.00018899990505272582
PN96_RS07515,5.223914403283812e-5
PN96_RS23215,0.00047961416484863675
PN96_RS05830,2.3553921492679633e-5
PN96_RS19875,1.2534528208491632e-5
PN96_RS11375,8.38820733528346e-5
PN96_RS03545,0.0005791462431335981
PN96_RS10930,0.00040248374355059135
PN96_RS11330,0.00010180526372611812
PN96_RS11350,4.1574445970040294e-5
PN96_RS03665,0.00010568352713969176
PN96_RS10570,0.000479369977561736
PN96_RS11355,5.0481281790964376e-5
PN96_RS18415,0.0001553921664670576
PN96_RS09630,0.012078247142175529
PN96_RS13645,4.439342213063143e-6
PN96_RS11715,3.128970025893596e-5
PN96_RS14405,8.686644009185381e-7
PN96_RS03310,0.00022487784930194974
PN96_RS00515,0.00010230285499901397
PN96_RS01390,0.0005230171051664762
PN96_RS01365,0.040363875491602835
PN96_RS11310,5.3622760815926585e-5
PN96_RS20885,0.0016550560164894509
PN96_RS09405,0.0014012615707221063
PN96_RS02460,0.00012779884819404366
PN96_RS03555,0.0014808835755904949
PN96_RS10090,0.0062392255724911085
PN96_RS02330,0.000104679627932119
PN96_RS05150,0.0007182953113372207
PN96_RS07630,1.4985695954167444e-5
PN96_RS13595,0.0009260018578373235
PN96_RS09825,5.358236888670808e-5
PN96_RS12815,5.399098997911826e-5
PN96_RS00955,7.01235678191377e-5
PN96_RS07895,0.0035395706539307105
PN96_RS00150,5.613074712019429e-5
PN96_RS10265,0.0011990303306944256
PN96_RS03955,0.002670651872013188
PN96_RS01115,1.73274652486972e-5
PN96_RS03410,0.0009008079497788859
PN96_RS13590,0.004356882458915563
PN96_RS00925,0.0016760170332131678
PN96_RS12730,4.8397474116706294e-5
PN96_RS07785,5.990536135957527e-5
PN96_RS23270,2.3337916096322838e-5
PN96_RS00570,0.00019023603501301466
PN96_RS12525,0.0001836463169182427
PN96_RS09830,0.00010440599953309106
PN96_RS02160,3.1428411930795347e-5
PN96_RS03550,0.00025952767619243295
PN96_RS10960,0.0014267863968955938
PN96_RS11380,9.494511487651427e-5
PN96_RS05385,0.0005275540045585877
PN96_RS12625,5.146690466649176e-5
PN96_RS13580,0.00022503199097730525
PN96_RS18400,0.0013739761917533485
PN96_RS09395,0.0009663201854486197
PN96_RS05840,2.6768582987242535e-5
PN96_RS11720,0.000508240316608385
PN96_RS08465,0.003890942779506652
PN96_RS09865,3.073239460697221e-5
PN96_RS12220,0.00031069059057624516
PN96_RS21135,0.0002317358091105248
PN96_RS04115,0.00011232996429519521
PN96_RS01120,1.7138165181987461e-6
PN96_RS03220,0.002652991187200116
PN96_RS03690,4.641773662858777e-5
PN96_RS18175,0.0011842949646055409
PN96_RS07905,0.00016264470333682713
PN96_RS15070,0.0003421313132619955
PN96_RS15000,5.168955305043758e-5
PN96_RS10515,1.9931471195148928e-5
PN96_RS11255,0.0028867775769378943
PN96_RS10270,6.292820541672567e-5
PN96_RS16775,1.390771027742019e-5
PN96_RS02365,1.602928070304355e-5
PN96_RS07445,0.0008283070059059944
PN96_RS09870,0.00023007443167711065
PN96_RS14635,0.005179298802417531
PN96_RS03315,2.8564060275848363e-6
PN96_RS11450,3.915309361859707e-5
PN96_RS05100,0.00014539677049568426
PN96_RS22760,3.917492847645077e-5
