Reaction,Isozyme,Protein,Stoichiometry,KcatReverse,KcatForward
14109,A,PN96_RS00840,1,8.031261892531552,3.1754906960962668
11708,A,PN96_RS10575,4,1.4956741829450386,1.5608000730206493
22828,A,PN96_RS07870,1,1.0507580538582117,0.5245927235365042
27786,B,PN96_RS01375,1,0.3995104820844528,0.04250896524854262
27786,B,PN96_RS09395,2,0.3995104820844528,0.04250896524854262
27786,B,PN96_RS09390,2,0.3995104820844528,0.04250896524854262
27786,A,PN96_RS22095,1,0.04974356343202954,0.23099659032247563
27786,A,PN96_RS09395,2,0.04974356343202954,0.23099659032247563
27786,A,PN96_RS09390,2,0.04974356343202954,0.23099659032247563
41836,B,PN96_RS03565,2,0.07057351256160332,0.2988541651617857
14829,A,PN96_RS08935,2,0.5715471446805408,1.2610528369172025
14829,A,PN96_RS09630,2,0.5715471446805408,1.2610528369172025
27822,A,PN96_RS10515,1,0.6030402774284538,0.1205939834812323
20249,B,PN96_RS23260,1,4.06167172264115,0.6330349997661211
20249,A,PN96_RS15120,1,0.3662676485214464,1.8317095479598637
23372,A,PN96_RS11350,1,0.10533177326070359,2.615775274250541
23920,A,PN96_RS07950,4,3.5724055566043353,0.5236723520874658
13233,B,PN96_RS15460,6,1.3269723608454227,1.6874343085679564
13233,A,PN96_RS01785,6,0.6848004979751202,1.8559836406184498
15609,A,PN96_RS09870,6,0.44665125669868283,0.018979048130143637
13493,A,PN96_RS13345,4,0.4019319505015379,0.018135924722443707
41908,B,PN96_RS05720,2,9.782522860962187,0.3568552566900677
41908,A,PN96_RS02355,1,5.104855333108804,0.26920185746808567
24813,A,PN96_RS21300,6,0.1873417240697813,0.21087240905081311
22812,A,PN96_RS09240,2,0.057839179694414454,0.4504374360431736
41904,B,PN96_RS17995,4,3.092840492183866,2.1788626773182824
41904,A,PN96_RS03555,4,1.4817984860207756,1.2520557301296962
41880,B,PN96_RS20950,1,1.018087888403691,0.060509114578565434
41880,A,PN96_RS07515,1,0.22243171197131312,1.6080236575675841
32287,A,PN96_RS11765,1,0.3229153094113459,2.142207708287222
32287,A,PN96_RS11770,1,0.3229153094113459,2.142207708287222
27694,A,PN96_RS13640,2,0.09295216664808043,0.14501183990942243
13677,A,PN96_RS15085,1,2.7717658566121814,0.17289712607897
24560,A,PN96_RS14615,6,0.3602437709792404,0.041076977194656764
23284,A,PN96_RS17400,8,0.48837855094406457,0.11786890250907986
