Protein,MassFraction
PN96_RS20885,0.0009673449758065972
PN96_RS09405,0.02183400173911182
PN96_RS02460,0.00013534121348214272
PN96_RS03555,0.0011693662398155305
PN96_RS10090,0.0050724926878633935
PN96_RS02330,0.00014818054782619796
PN96_RS05150,0.00038809238786769443
PN96_RS07630,1.3692895162052573e-5
PN96_RS13595,0.002110693770349175
PN96_RS09825,0.00014898942381511154
PN96_RS12815,7.231319083468366e-5
PN96_RS00955,8.072146353047022e-5
PN96_RS18770,1.70832306452435e-5
PN96_RS07895,0.0020664623953822532
PN96_RS00150,4.736489394916528e-5
PN96_RS10265,0.000914540620248148
PN96_RS03955,0.0010667216048435822
PN96_RS01115,3.95723817644017e-5
PN96_RS03410,0.0005646688314354453
PN96_RS13590,0.010939411109291907
PN96_RS05095,3.721102910876715e-5
PN96_RS12730,4.667469520099706e-5
PN96_RS00925,0.001795203506068833
PN96_RS00570,0.00022302605643910803
PN96_RS12525,0.0002255157120550538
PN96_RS09830,0.0001721164179121008
PN96_RS02160,4.971139767480667e-5
PN96_RS03550,0.0002556502591718162
PN96_RS10960,0.00028122660658319555
PN96_RS11380,7.742131044069236e-5
PN96_RS12625,8.614046019478871e-5
PN96_RS13580,0.00048469133717089975
PN96_RS18400,0.0004957969667690183
PN96_RS09395,0.004634302784467375
PN96_RS05840,7.829533276614703e-5
PN96_RS11720,0.0007680079130876636
PN96_RS05425,6.302464030684235e-5
PN96_RS08465,0.004917135903199585
PN96_RS09865,5.019321204947487e-5
PN96_RS12220,0.00039366750368760914
PN96_RS21135,0.0003386358183492517
PN96_RS04115,0.00010119758248528139
PN96_RS05935,1.762623541797466e-5
PN96_RS03690,4.195364488222678e-5
PN96_RS03220,0.0017896076862707298
PN96_RS01120,2.649362256105317e-6
PN96_RS18175,0.0026023607766931874
PN96_RS07905,0.0001402371871464625
PN96_RS15070,0.0001344284766272478
PN96_RS15000,4.045224785248243e-5
PN96_RS11255,0.0027774449767452303
PN96_RS10270,4.177118875688897e-5
PN96_RS16775,1.3294296057752178e-5
PN96_RS02365,2.8333745814017357e-5
PN96_RS07445,0.00038917996801049226
PN96_RS09870,0.00033033336623465435
PN96_RS14635,0.0025736054050127482
PN96_RS03315,4.011711822983019e-6
PN96_RS11450,0.0003615520192723831
PN96_RS05100,4.719866400288848e-5
PN96_RS22760,0.0004455472196603099
PN96_RS07870,0.0005482559235697668
PN96_RS09410,4.6317481725307936e-5
PN96_RS03490,6.203215222966224e-5
PN96_RS11200,0.0015726279965476945
PN96_RS13770,0.000148114301805307
PN96_RS02310,0.0004634917689199309
PN96_RS21230,0.001293475869937896
PN96_RS00575,0.0004984725634763373
PN96_RS10575,0.0018033924018608285
PN96_RS16020,4.341197464324942e-5
PN96_RS23260,6.236473543301921e-5
PN96_RS08050,5.797678962928666e-5
PN96_RS15005,0.00024237540297504688
PN96_RS20755,0.00017143382028073206
PN96_RS03075,2.4828920251440575e-5
PN96_RS13755,0.0004918580355298741
PN96_RS07490,0.00010418613921603667
PN96_RS00920,0.00337320186190113
PN96_RS08600,0.00011209232844057436
PN96_RS13610,0.00022265432249446538
PN96_RS15010,0.0005379538719065603
PN96_RS21725,1.2577383376869784e-5
PN96_RS11250,0.00243101620909333
PN96_RS14285,4.3697766389468264e-5
PN96_RS08425,0.0009098494065737135
PN96_RS02155,0.0009582472582947837
PN96_RS02145,0.0026587691752826873
PN96_RS09415,9.933066774549116e-6
PN96_RS13650,0.0018595704596302998
PN96_RS22530,3.845890547310013e-5
PN96_RS11765,0.0028480225512947633
PN96_RS21805,0.0002716013675776671
PN96_RS21965,0.0005115775080424418
PN96_RS19840,0.004464553512713361
PN96_RS03235,0.0029913050229007283
PN96_RS09495,0.0026054964921818115
PN96_RS21755,4.170242244365514e-5
PN96_RS11975,1.7192949205384907e-5
PN96_RS01100,0.000650458322859664
PN96_RS03300,1.7063792253361784e-5
PN96_RS01235,1.4734027175351477e-5
PN96_RS03565,0.001238864506053393
PN96_RS09420,0.0010824759271461535
PN96_RS07395,0.0004969498882804291
PN96_RS15765,0.0001604320295380458
PN96_RS19315,2.3694912150933836e-5
PN96_RS17695,0.0015559641682611179
PN96_RS02150,0.00152107933140272
PN96_RS07375,0.000136304046645999
PN96_RS14960,9.163372940627843e-5
PN96_RS01375,0.001961151790073317
PN96_RS02380,0.0002499873101888886
PN96_RS02360,0.00018825169919237992
PN96_RS11445,0.0001754191464077353
PN96_RS13230,2.6348991921214422e-5
PN96_RS02000,0.00182202386737806
PN96_RS07950,0.0027017179334228453
PN96_RS04300,0.00022740941505784026
PN96_RS11010,0.0006423960622442177
PN96_RS01105,0.0009647133413661031
PN96_RS11195,0.0006865488336840817
PN96_RS02990,0.0005926381589617614
PN96_RS02350,5.480333090252806e-5
PN96_RS05440,0.0001136540547258408
PN96_RS09390,0.002488540212894967
