Reaction,Isozyme,Protein,Stoichiometry,KcatReverse,KcatForward
41904,B,PN96_RS17995,4,0.23652965496340075,4.198342211236627
41904,A,PN96_RS03555,4,0.756661789762307,5.43693324265821
41880,B,PN96_RS20950,1,3.482597222546828,0.8406324072861282
41880,A,PN96_RS07515,1,2.832669187344108,0.2257544538583789
32287,A,PN96_RS11765,1,1.5304859279454124,0.0707850314891332
32287,A,PN96_RS11770,1,1.5304859279454124,0.0707850314891332
27694,A,PN96_RS13640,2,0.4984005458446091,0.3976114923242109
15053,A,PN96_RS02460,1,2.1578665281712657,0.5753834338164233
13677,A,PN96_RS15085,1,2.7223962740191423,4.511189865077268
24560,A,PN96_RS14615,6,0.3546462559060685,0.037009785398746
18321,A,PN96_RS21300,6,0.5421621181416273,5.027709437815174
14053,A,PN96_RS09830,3,0.16956208508149825,0.10326058052677299
10748,A,PN96_RS01390,2,0.4316444268797949,1.6366882577923516
27654,B,PN96_RS11715,2,0.15045882824271617,0.17279767723407352
27654,B,PN96_RS11720,2,0.15045882824271617,0.17279767723407352
27654,A,PN96_RS13650,2,0.13167971177768192,0.21526992602462566
27654,A,PN96_RS11715,2,0.13167971177768192,0.21526992602462566
27654,C,PN96_RS13645,2,1.4874467394139117,0.13499664595938643
27654,C,PN96_RS13650,2,1.4874467394139117,0.13499664595938643
27654,D,PN96_RS13645,2,0.8496703623038331,0.10714799162256258
27654,D,PN96_RS11720,2,0.8496703623038331,0.10714799162256258
17053,A,PN96_RS18415,1,3.202734975783064,0.26536075309068025
16809,A,PN96_RS05425,4,0.1407740431281003,0.14993046465672102
12120,B,PN96_RS21135,4,0.6845998633473276,0.3999799336428866
12120,A,PN96_RS08410,4,0.4715011173204224,2.611477795441143
17453,A,PN96_RS00175,1,0.10499058274638849,0.07984175396928671
11600,A,PN96_RS03665,1,2.9830832685648625,1.691635767609262
28062,A,PN96_RS12535,1,0.02807637077625383,0.7097167011157166
18181,A,PN96_RS10730,1,0.08093782758492814,0.33140188915011676
10248,A,PN96_RS01095,2,1.5328762666212599,0.5815786390410822
21020,A,PN96_RS02880,4,0.1440181149352321,1.338768745317641
21648,B,PN96_RS13620,1,0.8912658184511905,0.027920864918239606
21648,A,PN96_RS10930,2,0.08503470245524669,1.4560231324753892
27686,A,PN96_RS10630,4,0.8571714198923881,0.9303390454034269
16845,A,PN96_RS09420,6,0.7148979079297482,0.8376649334485238
18405,A,PN96_RS08050,1,1.338564472939226,0.8746123659591448
13121,A,PN96_RS15065,1,5.738092759075254,0.3121267800191915
41924,B,PN96_RS05720,2,5.525003405965467,3.882620586181708
41924,A,PN96_RS02355,1,7.01516575743652,7.130309965551206
10152,A,PN96_RS22110,1,1.1228534727663688,0.8705591562836288
17325,A,PN96_RS02000,3,0.02883998123681467,0.06195674789466932
19521,A,PN96_RS03410,6,10.184822243589144,1.1358402692284157
35331,A,PN96_RS11310,4,0.17100224297328892,0.4794982468976382
18445,A,PN96_RS00180,1,0.09730650779015228,0.5498674066211663
17129,A,PN96_RS10330,1,0.021241750055249805,0.8681528333071289
15093,A,PN96_RS04245,2,11.355550854340969,18.149791189007722
22628,A,PN96_RS07375,3,0.122273623838221,0.1150526190400013
24801,A,PN96_RS21300,6,7.268637510946753,0.6077809341970429
25209,A,PN96_RS11330,1,0.9194439914687711,2.5660553755580606
15841,B,PN96_RS21965,1,1.7105421963558087,4.08456932261363
15841,A,PN96_RS05360,1,5.212129185290045,1.4559362921171535
41884,B,PN96_RS03565,2,0.02210603287335203,0.23368699485152977
14717,B,PN96_RS18400,4,0.2684770475946712,0.04196517867564629
14717,A,PN96_RS10965,4,0.3972932236283473,0.054027099288969684
Na_ATPsynthase,A,PN96_RS13585,1,89.74471893093786,7.328898514237553
Na_ATPsynthase,A,PN96_RS13570,1,89.74471893093786,7.328898514237553
Na_ATPsynthase,A,PN96_RS13590,3,89.74471893093786,7.328898514237553
Na_ATPsynthase,A,PN96_RS13600,1,89.74471893093786,7.328898514237553
Na_ATPsynthase,A,PN96_RS13605,1,89.74471893093786,7.328898514237553
Na_ATPsynthase,A,PN96_RS13580,2,89.74471893093786,7.328898514237553
Na_ATPsynthase,A,PN96_RS13575,10,89.74471893093786,7.328898514237553
Na_ATPsynthase,A,PN96_RS13565,1,89.74471893093786,7.328898514237553
Na_ATPsynthase,A,PN96_RS13595,1,89.74471893093786,7.328898514237553
22912,B,PN96_RS13470,2,0.08078743926552157,0.948816862834308
22912,A,PN96_RS09035,2,0.5073103811341116,0.6842026892990279
25237,A,PN96_RS10630,4,1.8650444868319571,2.4825550813265673
33023,A,PN96_RS05370,2,1.33357453730085,8.65329838623792
12172,A,PN96_RS16595,6,4.568774144754228,0.24691596720673495
23864,A,PN96_RS01120,3,0.04754825560977857,0.3083775945029973
13429,A,PN96_RS01115,2,0.2665147657080136,0.05853347640056367
31255,A,PN96_RS13345,4,0.03150399304230313,0.13304068490041535
41900,B,PN96_RS03565,2,0.03944876404298204,0.6431983136119066
27674,A,PN96_RS10630,4,6.209699080440538,6.224433441988469
22144,A,PN96_RS01460,1,5.379132648662306,5.705079687919254
23448,A,PN96_RS08600,1,0.948249189543894,0.018427291754078506
28066,A,PN96_RS12535,1,0.09817532672000198,0.07918073761322646
19541,A,PN96_RS10265,2,0.023938342532324335,0.044354581568934515
22332,A,PN96_RS11765,1,3.0776453367232244,1.5753751414046062
22332,A,PN96_RS11770,1,3.0776453367232244,1.5753751414046062
12653,A,PN96_RS07395,4,2.6828376333330715,0.36784652779763366
28094,A,PN96_RS11740,1,0.21158445065499773,0.11825576130306902
19361,A,PN96_RS10215,1,0.015786982823496276,0.17433202853814914
24292,B,PN96_RS15020,1,5.670940061233949,6.893234800982682
24292,A,PN96_RS02050,6,0.8958421909730773,0.4136738427663124
10380,A,PN96_RS12630,2,0.05821991225044247,0.5477093171139648
14329,A,PN96_RS07445,2,0.05108619585375434,0.6019882504622461
42424,A,PN96_RS11765,1,0.2828560000004428,0.17476670750834605
42424,A,PN96_RS11770,1,0.2828560000004428,0.17476670750834605
11816,A,PN96_RS15130,2,86.52530911243902,27.512544305593174
12080,B,PN96_RS20655,1,0.10379953313179524,0.39192922504646854
12080,A,PN96_RS03545,1,0.49180680814106514,0.8422864358685449
13701,A,PN96_RS05150,1,0.06039246451777892,0.06570551042193963
17737,A,PN96_RS13770,2,0.8055519317115748,0.5616401829719081
24284,B,PN96_RS03220,2,0.2957920936005101,0.8052421723408814
24284,A,PN96_RS02955,2,0.1374975448291471,0.12234038155774836
oad,A,PN96_RS01245,1,0.41015864976303346,2.2153323575982906
oad,A,PN96_RS01240,1,0.41015864976303346,2.2153323575982906
oad,A,PN96_RS01235,1,0.41015864976303346,2.2153323575982906
18473,A,PN96_RS07905,2,0.3904662556884314,0.6423114889029621
20345,A,PN96_RS07425,1,0.2976325764043043,1.2671598844601644
41896,B,PN96_RS20950,1,1.564521869736237,1.6668112997434756
41896,A,PN96_RS07515,1,3.4559581084216826,4.229531715420061
cyt_bd,A,PN96_RS08270,1,10.420994512673134,7.72498324403279
cyt_bd,A,PN96_RS07430,1,10.420994512673134,7.72498324403279
cyt_bd,A,PN96_RS08265,1,10.420994512673134,7.72498324403279
cyt_bd,A,PN96_RS08275,1,10.420994512673134,7.72498324403279
cyt_bd,A,PN96_RS07435,1,10.420994512673134,7.72498324403279
15481,A,PN96_RS21240,2,1.7453323700674979,0.11892855113396412
15481,C,PN96_RS10090,2,0.24652736393312127,0.1474152183520311
14657,A,PN96_RS00955,2,5.390453649642737,12.960538371013799
37751,A,PN96_RS05440,1,9.117957147936904,4.4272197131149
23700,A,PN96_RS09240,2,0.02225757216214451,0.4548077903470776
41804,B,PN96_RS17995,4,7.671404059636436,0.6238793397359119
41804,A,PN96_RS03555,4,0.2902531934061778,6.518364452248338
23476,A,PN96_RS03960,1,0.02119100263119853,0.7028649716729074
61092,A,PN96_RS15000,2,2.353750913319916,1.2722398335303753
11596,A,PN96_RS03690,2,0.04969369266195163,0.029078277709840915
21096,A,PN96_RS14405,12,9.973678421162475,1.8553332199342243
23744,A,PN96_RS07895,2,0.6095577525616294,2.778703402557194
15761,B,PN96_RS14980,1,3.2974157391445726,0.41308443491182273
15761,A,PN96_RS11205,4,0.4277580236909273,0.08277289499683142
22668,A,PN96_RS02365,1,0.021683916573315986,0.08824857683538423
22408,A,PN96_RS10215,1,0.038559768337953854,0.18317284869766667
23104,A,PN96_RS00515,1,12.817235056603778,3.8280610961998613
27682,A,PN96_RS10630,4,0.0580534594568076,1.9923726417431302
28026,A,PN96_RS04115,2,3.704042786410051,7.274105395270348
28026,A,PN96_RS04120,2,3.704042786410051,7.274105395270348
15753,A,PN96_RS14775,2,0.03124327336008046,0.12156105555848622
19597,A,PN96_RS00590,1,0.9238265882707922,1.0323200980064446
38215,B,PN96_RS21965,1,1.8908140874370214,36.65364066346563
38215,A,PN96_RS05360,1,13.638349409791376,4.339136212816953
20013,A,PN96_RS00575,6,0.40811807074209533,0.14482329857083462
20013,A,PN96_RS00570,6,0.40811807074209533,0.14482329857083462
24368,A,PN96_RS18645,1,0.22909004643351677,1.7970136481019798
34171,B,PN96_RS19840,4,5.467607347960936,1.3797792009584342
34171,A,PN96_RS02525,4,4.245402180105738,8.174904822022482
15009,A,PN96_RS11815,1,4.13485134286234,0.23193892056669504
15393,A,PN96_RS14075,2,6.831832953540867,0.1104907856815275
10840,A,PN96_RS11195,1,0.3325654191911177,0.3611276211857576
19833,A,PN96_RS09315,6,5.746782485070043,0.5572404827852324
41808,B,PN96_RS05720,2,0.18321390263807022,7.224718786379536
41808,A,PN96_RS02355,1,1.105242857790949,5.3726870111731
19821,A,PN96_RS14985,4,0.36882942246971007,0.9850772725492877
41844,B,PN96_RS05720,2,3.2351307042438364,0.2052435668545166
41844,A,PN96_RS02355,1,0.366718376305935,4.672801103951839
13509,A,PN96_RS13610,3,0.4519430950446648,0.013637499756634721
28042,A,PN96_RS01365,24,3.0496209920766932,34.80852007300675
28042,A,PN96_RS01375,24,3.0496209920766932,34.80852007300675
28042,A,PN96_RS01370,24,3.0496209920766932,34.80852007300675
41820,B,PN96_RS03565,2,0.368540347865032,0.06632329255430133
13869,A,PN96_RS10960,1,0.1549046731930351,0.07786976562228896
41860,B,PN96_RS05720,2,2.3746319871654626,1.9630051260591062
41860,A,PN96_RS02355,1,1.8508276198299143,0.6228356785369338
25213,A,PN96_RS07855,1,1.9883880252908999,1.830565465359446
32271,A,PN96_RS11760,2,0.3273591857634406,0.8490881176250576
19497,A,PN96_RS07490,1,0.4299923063092152,0.015522369573925622
41916,B,PN96_RS03565,2,0.020382733505720778,0.015600644292824909
14905,A,PN96_RS02990,4,0.06615057871521489,0.11093715551781631
11172,A,PN96_RS00265,1,0.23860492672989278,0.6505578323260378
23424,A,PN96_RS01650,1,2.939589732720097,5.004638738534446
24296,A,PN96_RS23400,2,6.485950103524478,0.7518799660859017
10040,A,PN96_RS12815,1,0.12585287378161594,4.939383632583932
21588,A,PN96_RS15005,1,2.3355881581642413,0.35878948235290936
32715,A,PN96_RS11760,2,4.0446782112200905,0.07434530445601445
11352,B,PN96_RS21805,2,9.9426431648611,0.5420771042884418
11352,A,PN96_RS03415,2,0.7151577632530869,6.312339357471655
14465,A,PN96_RS07890,1,0.09395997224362906,1.2972837409651963
25098,A,PN96_RS10630,4,2.0354769954388896,2.894857033286408
21208,A,PN96_RS01795,1,0.030329589665524546,0.2616328673402943
30187,A,PN96_RS05685,1,0.1286568844445819,0.2283334187596271
14629,A,PN96_RS15010,2,0.6021191764955355,0.11187260808868257
14729,A,PN96_RS00925,2,12.866067140458991,21.289925700855505
11612,B,PN96_RS11255,2,0.29419246621910683,5.386527805008738
11612,B,PN96_RS11260,2,0.29419246621910683,5.386527805008738
11612,A,PN96_RS11250,2,6.131285771254139,1.3175265952538107
11612,A,PN96_RS11245,2,6.131285771254139,1.3175265952538107
17661,A,PN96_RS09380,2,14.404613661302717,27.634984777893305
17661,A,PN96_RS09385,2,14.404613661302717,27.634984777893305
18301,A,PN96_RS10570,2,0.1723505113259872,0.025537854302802813
20780,A,PN96_RS12730,4,0.829047756745403,3.9823324291229336
13193,A,PN96_RS13755,8,0.10475617775254197,0.008318356687144193
rnf,A,PN96_RS03320,1,0.2864443065627961,0.22425609810997046
rnf,A,PN96_RS03315,1,0.2864443065627961,0.22425609810997046
rnf,A,PN96_RS03305,1,0.2864443065627961,0.22425609810997046
rnf,A,PN96_RS03300,1,0.2864443065627961,0.22425609810997046
rnf,A,PN96_RS03310,1,0.2864443065627961,0.22425609810997046
rnf,A,PN96_RS03295,1,0.2864443065627961,0.22425609810997046
glycogen_synthase,A,PN96_RS08405,1,0.1980656643784901,0.1549407101876939
11308,B,PN96_RS14395,1,0.892860794572077,0.04146300277306808
11308,A,PN96_RS02970,1,0.6699149843678799,0.4796775325002252
11308,C,PN96_RS02380,1,0.29953730673085044,0.8799094229698794
23780,A,PN96_RS05430,2,2.3915142067360895,0.5733910732270638
28386,A,PN96_RS11370,2,0.036258544819445904,0.043102058875399016
31227,A,PN96_RS11355,2,0.013081046890115073,0.07724485523966806
12248,A,PN96_RS00050,1,0.10825623570046287,0.15217352907506784
41824,B,PN96_RS17995,4,0.3643096939279548,2.343376755204026
41824,A,PN96_RS03555,4,0.22614353269174828,3.847414556711156
12556,A,PN96_RS05365,1,3.723313508250404,1.8671847505531762
27758,A,PN96_RS21250,1,0.04525313730697197,0.04485399438585941
27758,A,PN96_RS22095,2,0.04525313730697197,0.04485399438585941
27758,A,PN96_RS01375,2,0.04525313730697197,0.04485399438585941
27758,A,PN96_RS21230,1,0.04525313730697197,0.04485399438585941
41864,B,PN96_RS20950,1,0.06389406928619504,3.8814732813941264
41864,A,PN96_RS07515,1,0.6451411246065403,1.9030586334757487
12228,A,PN96_RS09495,2,0.21065168400281567,0.7062432969409189
cyt_bc1,A,PN96_RS11450,1,1.2571691993781307,8.91450116269669
cyt_bc1,A,PN96_RS11445,1,1.2571691993781307,8.91450116269669
cyt_bc1,A,PN96_RS11440,1,1.2571691993781307,8.91450116269669
22192,A,PN96_RS00180,1,0.132073246811923,0.05744244600597531
21824,A,PN96_RS20755,1,33.018061825951314,13.914647881557245
28374,A,PN96_RS11375,1,0.025265543213106777,0.022781971787991837
28034,A,PN96_RS04115,2,0.8056141541703298,0.18278966086278056
28034,A,PN96_RS04120,2,0.8056141541703298,0.18278966086278056
19317,A,PN96_RS13750,2,1.2676171353347747,0.68553122476661
41856,B,PN96_RS17995,4,0.24271539705918052,0.9378505793613563
41856,A,PN96_RS03555,4,0.7476563564972891,0.333744735546645
17941,A,PN96_RS01460,1,0.10113582865520024,0.8545444029068346
41892,B,PN96_RS05720,2,0.6858621318249066,3.3165320172250548
41892,A,PN96_RS05720,2,0.31092137957221305,1.4581197893132118
41892,C,PN96_RS02355,1,3.310200161289785,0.5669564123120402
41892,D,PN96_RS02355,1,2.694997444409621,0.22982248505945557
23676,A,PN96_RS11380,1,0.3583648664811261,0.11084652940690322
24576,A,PN96_RS11910,6,0.404635492249925,1.4040269471125524
